tournament_year,team_code,avg_team_age,is_host,strength_pre,matches_group,wins,draws,losses,goals_for,goals_against,clean_sheet,points,goal_diff,avg_goals_for,avg_goals_against,win_ratio,y_ord,y_label,split
1970,BEL,26.26196254122332,0,0.041666666666666664,3,1,0,2,4,5,1,3,-1,1.3333333333333333,1.6666666666666667,0.3333333333333333,0,Group,train
1970,BGR,26.315848422624605,0,0.03571428571428571,3,0,1,2,5,9,0,1,-4,1.6666666666666667,3.0,0.0,0,Group,train
1970,BRA,24.96571464127932,0,1.0,3,3,0,0,8,3,1,9,5,2.6666666666666665,1.0,1.0,5,Winner,train
1970,CSK,25.473212619003174,0,0.07142857142857142,3,0,0,3,2,7,0,0,-5,0.6666666666666666,2.3333333333333335,0.0,0,Group,train
1970,DEU,27.72733495115425,0,0.3333333333333333,3,3,0,0,10,4,0,9,6,3.3333333333333335,1.3333333333333333,1.0,3,SF,train
1970,ENG,27.631136830315473,0,0.5,3,2,0,1,2,1,2,6,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,2,QF,train
1970,ISR,24.741584220023643,0,0.02564102564102564,3,0,2,1,1,3,1,2,-2,0.3333333333333333,1.0,0.0,0,Group,train
1970,ITA,27.273722854831682,0,0.25,3,1,2,0,1,0,3,5,1,0.3333333333333333,0.0,0.3333333333333333,4,Final,train
1970,MAR,25.221946035520013,0,0.025,3,0,1,2,2,6,0,1,-4,0.6666666666666666,2.0,0.0,0,Group,train
1970,MEX,26.873623296621243,1,0.034482758620689655,3,2,1,0,5,0,3,7,5,1.6666666666666667,0.0,0.6666666666666666,2,QF,train
1970,PER,26.41714890174849,0,0.045454545454545456,3,2,0,1,7,5,1,6,2,2.3333333333333335,1.6666666666666667,0.6666666666666666,2,QF,train
1970,ROU,25.398543961172297,0,0.05263157894736842,3,1,0,2,4,5,0,3,-1,1.3333333333333333,1.6666666666666667,0.3333333333333333,0,Group,train
1970,SLV,25.494617634248026,0,0.014705882352941176,3,0,0,3,0,9,0,0,-9,0.0,3.0,0.0,0,Group,train
1970,SUN,27.09439362827453,0,0.2,3,2,1,0,6,1,2,7,5,2.0,0.3333333333333333,0.6666666666666666,2,QF,train
1970,SWE,26.626718934727148,0,0.09090909090909091,3,1,1,1,2,2,1,4,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,Group,train
1970,URY,25.916993342044677,0,0.1111111111111111,3,1,1,1,2,1,2,4,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,SF,train
1974,ARG,26.66355547259038,0,0.06666666666666667,6,1,2,3,9,12,0,5,-3,1.5,2.0,0.16666666666666666,2,QF,train
1974,AUS,27.452056499284424,0,0.030303030303030304,3,0,1,2,0,5,1,1,-5,0.0,1.6666666666666667,0.0,0,Group,train
1974,BGR,26.05550370232095,0,0.037037037037037035,3,0,2,1,2,5,1,2,-3,0.6666666666666666,1.6666666666666667,0.0,0,Group,train
1974,BRA,26.151452927633624,0,0.3333333333333333,6,3,2,1,6,3,4,11,3,1.0,0.5,0.5,3,SF,train
1974,CHL,27.786323190840644,0,0.043478260869565216,3,0,2,1,1,2,1,2,-1,0.3333333333333333,0.6666666666666666,0.0,0,Group,train
1974,COD,25.871818804056996,0,0.034482758620689655,3,0,0,3,0,14,0,0,-14,0.0,4.666666666666667,0.0,0,Group,train
1974,DDR,26.43419824528654,0,0.1,6,2,2,2,5,5,2,8,0,0.8333333333333334,0.8333333333333334,0.3333333333333333,2,QF,train
1974,DEU,27.230415033289777,1,1.0,6,5,0,1,11,3,4,15,8,1.8333333333333333,0.5,0.8333333333333334,5,Winner,train
1974,HTI,26.150706241055317,0,0.018518518518518517,3,0,0,3,2,14,0,0,-12,0.6666666666666666,4.666666666666667,0.0,0,Group,train
1974,ITA,28.809781594175845,0,0.16666666666666666,3,1,1,1,5,4,0,4,1,1.6666666666666667,1.3333333333333333,0.3333333333333333,0,Group,train
1974,NLD,27.125256673511295,0,0.5,6,5,1,0,14,1,5,16,13,2.3333333333333335,0.16666666666666666,0.8333333333333334,4,Final,train
1974,POL,24.732748428846993,0,0.25,6,5,0,1,15,5,2,15,10,2.5,0.8333333333333334,0.8333333333333334,3,SF,train
1974,SCO,26.227366063095015,0,0.09090909090909091,3,1,2,0,3,1,2,5,2,1.0,0.3333333333333333,0.3333333333333333,0,Group,train
1974,SWE,27.859000684462696,0,0.05555555555555555,6,2,2,2,7,6,3,8,1,1.1666666666666667,1.0,0.3333333333333333,2,QF,train
1974,URY,26.790616638665924,0,0.03333333333333333,3,0,1,2,1,6,0,1,-5,0.3333333333333333,2.0,0.0,0,Group,train
1974,YUG,25.69572521933918,0,0.125,6,1,2,3,12,7,2,5,5,2.0,1.1666666666666667,0.16666666666666666,2,QF,train
1978,ARG,26.209196689689506,1,0.3333333333333333,6,4,1,1,12,3,3,13,9,2.0,0.5,0.6666666666666666,5,Winner,train
1978,AUT,26.769336071184117,0,0.08333333333333333,6,3,0,3,7,10,1,9,-3,1.1666666666666667,1.6666666666666667,0.5,2,QF,train
1978,BRA,25.501462261215853,0,1.0,6,3,3,0,8,2,4,12,6,1.3333333333333333,0.3333333333333333,0.5,3,SF,train
1978,DEU,27.34739593055815,0,0.3333333333333333,6,1,4,1,10,5,4,7,5,1.6666666666666667,0.8333333333333334,0.16666666666666666,2,QF,train
1978,ESP,27.24061974986,0,0.14285714285714285,3,1,1,1,2,2,2,4,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,Group,train
1978,FRA,26.31634621367681,0,0.06666666666666667,3,1,0,2,5,5,0,3,0,1.6666666666666667,1.6666666666666667,0.3333333333333333,0,Group,train
1978,HUN,26.948416402215173,0,0.041666666666666664,3,0,0,3,3,8,0,0,-5,1.0,2.6666666666666665,0.0,0,Group,train
1978,IRN,25.59741148652853,0,0.038461538461538464,3,0,1,2,2,8,0,1,-6,0.6666666666666666,2.6666666666666665,0.0,0,Group,train
1978,ITA,26.43905170804555,0,0.16666666666666666,6,4,1,1,8,4,3,13,4,1.3333333333333333,0.6666666666666666,0.6666666666666666,3,SF,train
1978,MEX,24.249642212681227,0,0.03125,3,0,0,3,2,12,0,0,-10,0.6666666666666666,4.0,0.0,0,Group,train
1978,NLD,28.202476510484725,0,0.5,6,3,2,1,14,7,2,11,7,2.3333333333333335,1.1666666666666667,0.5,4,Final,train
1978,PER,27.028062970568104,0,0.05,6,2,1,3,7,12,1,7,-5,1.1666666666666667,2.0,0.3333333333333333,2,QF,train
1978,POL,26.26059361582975,0,0.1111111111111111,6,3,1,2,6,6,3,10,0,1.0,1.0,0.5,2,QF,train
1978,SCO,27.891979341671334,0,0.07142857142857142,3,1,1,1,5,6,0,4,-1,1.6666666666666667,2.0,0.3333333333333333,0,Group,train
1978,SWE,27.255677929189222,0,0.04,3,0,1,2,1,3,0,1,-2,0.3333333333333333,1.0,0.0,0,Group,train
1978,TUN,25.745504324559764,0,0.034482758620689655,3,1,1,1,3,2,1,4,1,1.0,0.6666666666666666,0.3333333333333333,0,Group,train
1982,ARG,27.23775745130981,0,0.14285714285714285,5,2,0,3,8,7,1,6,1,1.6,1.4,0.4,2,QF,train
1982,AUT,27.06104162777674,0,0.1111111111111111,5,2,1,2,5,4,2,7,1,1.0,0.8,0.4,2,QF,train
1982,BEL,27.619065397299483,0,0.1,5,2,1,2,3,5,2,7,-2,0.6,1.0,0.4,2,QF,train
1982,BRA,27.030676373592186,0,1.0,5,4,0,1,15,6,1,12,9,3.0,1.2,0.8,2,QF,train
1982,CHL,28.02874743326489,0,0.03225806451612903,3,0,0,3,3,8,0,0,-5,1.0,2.6666666666666665,0.0,0,Group,train
1982,CMR,27.282309750482238,0,0.027777777777777776,3,0,3,0,1,1,2,3,0,0.3333333333333333,0.3333333333333333,0.0,0,Group,train
1982,CSK,28.17845809221579,0,0.07692307692307693,3,0,2,1,2,4,0,2,-2,0.6666666666666666,1.3333333333333333,0.0,0,Group,train
1982,DEU,26.550183560450503,0,0.25,5,3,1,1,8,4,2,10,4,1.6,0.8,0.6,4,Final,train
1982,DZA,26.864165266629332,0,0.03333333333333333,3,2,0,1,5,5,0,6,0,1.6666666666666667,1.6666666666666667,0.6666666666666666,0,Group,train
1982,ENG,28.566361769647187,0,0.5,5,3,2,0,6,1,4,11,5,1.2,0.2,0.6,2,QF,train
